Sample.ID,Site,313_1,313_2,313_3,383_1,383_2,383_3,TA1_1,TA1_2,TA1_3,TA1_4,TA1_5,POLYA_1,POLYA_2,POLYA_3,POLYA_4,PFPK2_1,PFPK2_2,PFPK2_3,PFPK2_4,PFPK2_5,2490_1,2490_2,2490_3,TA109_1,TA109_2,TA109_3,TA109_4,TA109_5
BD21-000D0,Benguela,230,,,123,147,,174,,,,,141,180,,,174,,,,,78,,,172,,,,
BD21-001D0,Benguela,242,,,149,,,165,,,,,150,,,,180,,,,,78,,,160,,,,
BD21-003D0,Benguela,248,,,155,,,162,,,,,150,,,,183,,,,,81,,,124,172,,,
BD21-004D0,Benguela,220,,,139,,,168,174,,,,153,174,,,150,162,,,,81,,,160,172,,,
BD21-005D0,Benguela,220,,,139,,,177,,,,,150,168,,,159,168,,,,81,84,,175,,,,
BD21-006D0,Benguela,266,,,143,,,168,,,,,153,,,,165,,,,,81,,,175,,,,
BD21-007D0,Benguela,236,,,133,,,150,,,,,153,,,,168,,,,,81,,,124,175,,,
BP21-200D0,Benguela,244,,,123,141,,162,174,180,189,,153,168,174,,165,171,180,,,81,,,124,160,163,172,175
BP21-201D0,Benguela,214,248,,123,,,165,177,,,,153,159,168,,180,198,,,,81,,,160,172,199,,
BP21-202D0,Benguela,238,,,123,,,177,,,,,144,,,,186,,,,,81,,,160,,,,
BP21-203D0,Benguela,242,,,123,,,177,,,,,150,,,,159,,,,,78,,,160,,,,
BP21-204D0,Benguela,248,,,123,,,165,,,,,162,,,,180,,,,,78,,,160,,,,
BP21-205D0,Benguela,232,238,,123,139,,159,165,,,,156,162,,,162,165,168,,,72,81,87,172,175,178,,
BP21-206D0,Benguela,236,,,139,,,159,,,,,153,,,,171,189,,,,81,,,160,163,,,
LL21-000D0,Lunda Sul,226,256,,147,,,168,,,,,153,,,,186,,,,,81,,,175,,,,
LL21-001D0,Lunda Sul,226,,,123,137,,183,,,,,165,180,,,168,195,,,,81,84,,163,178,,,
LL21-002D0,Lunda Sul,214,234,,123,,,171,,,,,153,156,159,,171,192,,,,72,,,163,196,,,
LL21-003D0,Lunda Sul,230,240,,123,,,165,171,,,,153,168,,,165,171,186,,,78,81,,163,190,,,
LL21-004D0,Lunda Sul,224,,,125,,,168,,,,,150,,,,156,,,,,81,,,175,,,,
LL21-005D0,Lunda Sul,250,258,,123,,,177,180,,,,150,192,,,159,168,,,,81,,,172,,,,
LL21-006D0,Lunda Sul,234,,,123,171,,162,192,,,,168,,,,165,180,,,,78,81,,163,,,,
LL21-007D0,Lunda Sul,234,,,123,171,,162,192,,,,162,171,,,165,180,,,,78,81,,163,,,,
LL21-009D0,Lunda Sul,232,,,131,139,,168,,,,,150,159,,,174,186,,,,81,,,160,172,,,
LL21-011D0,Lunda Sul,228,,,123,,,159,,,,,177,,,,165,,,,,78,,,160,,,,
LL21-012D0,Lunda Sul,232,,,139,,,168,,,,,156,,,,171,,,,,72,,,175,,,,
LL21-013D0,Lunda Sul,212,222,234,123,,,159,180,183,,,147,153,,,171,180,192,,,72,81,,160,163,175,,
LL21-014D0,Lunda Sul,222,234,,123,,,159,180,,,,147,153,,,171,186,192,,,75,84,,160,163,,,
LL21-015D0,Lunda Sul,262,,,123,,,162,,,,,150,,,,177,,,,,81,,,160,,,,
ZL21-200D0,Zaire,236,,,123,,,174,,,,,102,,,,159,,,,,81,,,160,,,,
ZL21-201D0,Zaire,230,,,137,,,159,,,,,156,,,,171,,,,,81,,,175,184,,,
ZL21-202D0,Zaire,234,,,123,147,,165,,,,,180,,,,177,,,,,78,,,172,,,,
ZL21-205D0,Zaire,236,,,123,137,,183,,,,,129,165,,,177,,,,,78,81,,175,,,,
ZL21-206D0,Zaire,270,,,123,,,174,,,,,144,,,,171,,,,,78,,,175,,,,
ZL21-207D0,Zaire,234,,,145,,,159,,,,,153,162,,,171,195,,,,81,,,181,,,,
ZL21-208D0,Zaire,238,,,139,,,171,183,,,,156,,,,174,,,,,81,,,160,172,,,
ZQ21-002D0,Zaire,236,,,139,,,177,,,,,159,,,,171,,,,,81,,,184,,,,
ZQ21-003D0,Zaire,240,,,123,,,168,,,,,159,,,,183,,,,,81,,,187,,,,
ZQ21-004D0,Zaire,224,,,149,,,156,,,,,156,,,,192,,,,,81,,,160,,,,
ZQ21-005D0,Zaire,232,,,123,137,,159,,,,,153,168,,,159,168,171,,,78,,,172,,,,
ZQ21-006D0,Zaire,230,,,141,,,168,,,,,159,,,,174,,,,,81,,,172,,,,
ZQ21-007D0,Zaire,264,,,123,,,177,,,,,183,,,,192,,,,,78,,,172,,,,
ZQ21-008D0,Zaire,236,248,,125,139,,165,168,,,,144,168,,,171,186,,,,81,,,154,160,172,,
