"Site","Sample.ID","Probability","N_Available_D0","N_Available_DF","N_Comparable_Loci"
"1","1",1,3,3,3
"1","10",1,3,3,3
"1","11",1,3,3,3
"1","12",0.156666666666667,3,3,3
"1","13",1,3,3,3
"1","14",0.726666666666667,3,3,3
"1","15",0,3,3,3
"1","16",1,3,3,3
"1","17",1,3,3,3
"1","18",0,3,3,3
"1","19",0.533333333333333,3,3,3
"1","2",0.0733333333333333,3,3,3
"1","20",0,3,3,3
"1","3",1,3,3,3
"1","4",0.256666666666667,3,3,3
"1","5",1,3,3,3
"1","6",0,3,3,3
"1","7",1,3,3,3
"1","8",1,3,3,3
"1","9",0.763333333333333,3,3,3
