"Sample.ID","Marker","Mean_Likelihood_Ratio","Mean_Distance","Site","Interpretation"
"BD21-002","313",1.28465581065283,2,"Benguela","Supports Recrudescence"
"BD21-040","313",0.437791217517219,6.50666666666667,"Benguela","Supports Reinfection/Error"
"BD21-041","313",3.46043087346383,0,"Benguela","Supports Recrudescence"
"BD21-053","313",3.0547994826452,0.706666666666667,"Benguela","Supports Recrudescence"
"BD21-075","313",2.97075168864911e-06,16,"Benguela","Supports Reinfection/Error"
"BD21-099","313",0.525848828106127,7.03333333333333,"Benguela","Supports Reinfection/Error"
"BP21-233","313",5.40501155055758,0,"Benguela","Supports Recrudescence"
"BP21-237","313",0.134908360192271,6.60666666666667,"Benguela","Supports Reinfection/Error"
"BP21-238","313",1,6.04666666666667,"Benguela","Supports Reinfection/Error"
"BP21-240","313",0.649089446745639,9.95333333333333,"Benguela","Supports Reinfection/Error"
"BP21-241","313",0.403141492872207,4.64666666666667,"Benguela","Supports Reinfection/Error"
"BP21-243","313",0.563632613951777,17.7733333333333,"Benguela","Supports Reinfection/Error"
"BP21-245","313",0.964415581000046,2.46666666666667,"Benguela","Supports Reinfection/Error"
"BP21-273","313",0.29616673118273,5.66666666666667,"Benguela","Supports Reinfection/Error"
"BP21-274","313",0.675535566594144,7.97333333333333,"Benguela","Supports Reinfection/Error"
"BP21-280","313",0.581036757438035,4.49333333333333,"Benguela","Supports Reinfection/Error"
"BP21-281","313",0.509369378847506,5.98666666666667,"Benguela","Supports Reinfection/Error"
"BP21-294","313",1.79204987403722e-05,12,"Benguela","Supports Reinfection/Error"
"BP21-303","313",7.71115886351e-10,30,"Benguela","Supports Reinfection/Error"
"BD21-002","383",3.08965956973611e-05,10,"Benguela","Supports Reinfection/Error"
"BD21-040","383",0.34369832519141,8.72,"Benguela","Supports Reinfection/Error"
"BD21-041","383",0.685638797733303,0,"Benguela","Supports Reinfection/Error"
"BD21-053","383",4.94354844777594,0,"Benguela","Supports Recrudescence"
"BD21-075","383",0.017537048502319,4,"Benguela","Supports Reinfection/Error"
"BD21-099","383",0.519430969380325,13.76,"Benguela","Supports Reinfection/Error"
"BP21-233","383",0.541296583566634,12.9066666666667,"Benguela","Supports Reinfection/Error"
"BP21-237","383",0.389451857543286,1.92666666666667,"Benguela","Supports Reinfection/Error"
"BP21-238","383",0.453872152757944,7.37333333333333,"Benguela","Supports Reinfection/Error"
"BP21-240","383",0.780080581771076,3.60666666666667,"Benguela","Supports Reinfection/Error"
"BP21-241","383",0.640024570065323,4.22666666666667,"Benguela","Supports Reinfection/Error"
"BP21-243","383",2.00479511568326,0,"Benguela","Supports Recrudescence"
"BP21-245","383",1,1.78666666666667,"Benguela","Supports Reinfection/Error"
"BP21-273","383",1.6728640311813,0,"Benguela","Supports Recrudescence"
"BP21-274","383",0.296350388543057,12.06,"Benguela","Supports Reinfection/Error"
"BP21-280","383",0.686148096146245,2.34,"Benguela","Supports Reinfection/Error"
"BP21-281","383",0.454589308830363,8.48,"Benguela","Supports Reinfection/Error"
"BP21-294","383",0.231315164047855,5.04,"Benguela","Supports Reinfection/Error"
"BP21-303","383",2.08695961387536e-09,24,"Benguela","Supports Reinfection/Error"
"BD21-002","TA1",0.0376159667427919,3,"Benguela","Supports Reinfection/Error"
"BD21-040","TA1",0.232249045655173,6.92,"Benguela","Supports Reinfection/Error"
"BD21-041","TA1",3.7086014053109,0,"Benguela","Supports Recrudescence"
"BD21-053","TA1",1,0.13,"Benguela","Supports Reinfection/Error"
"BD21-075","TA1",0.00029204227968071,9,"Benguela","Supports Reinfection/Error"
"BD21-099","TA1",0.232761707487707,5.34,"Benguela","Supports Reinfection/Error"
"BP21-233","TA1",0.104418183334162,7.42,"Benguela","Supports Reinfection/Error"
"BP21-237","TA1",0.118197221504014,13.3,"Benguela","Supports Reinfection/Error"
"BP21-238","TA1",1,12,"Benguela","Supports Reinfection/Error"
"BP21-240","TA1",0.4105816327281,28.29,"Benguela","Supports Reinfection/Error"
"BP21-241","TA1",0.276577493516548,13.61,"Benguela","Supports Reinfection/Error"
"BP21-243","TA1",0.366273906208627,8.2,"Benguela","Supports Reinfection/Error"
"BP21-245","TA1",0.459381892402632,3.36,"Benguela","Supports Reinfection/Error"
"BP21-273","TA1",0.514402486555992,3.72,"Benguela","Supports Reinfection/Error"
"BP21-274","TA1",6.80521192074175,0,"Benguela","Supports Recrudescence"
"BP21-280","TA1",0.572116158509914,3.21,"Benguela","Supports Reinfection/Error"
"BP21-281","TA1",0.000367568694096503,9,"Benguela","Supports Reinfection/Error"
"BP21-294","TA1",0.317389398545668,7.82,"Benguela","Supports Reinfection/Error"
"BP21-303","TA1",0.0417955186000371,3,"Benguela","Supports Reinfection/Error"
"BD21-002","POLYA",7.44407520042597e-15,48,"Benguela","Supports Reinfection/Error"
"BD21-040","POLYA",6.10188629966418,0,"Benguela","Supports Recrudescence"
"BD21-041","POLYA",4.26927820797013,0,"Benguela","Supports Recrudescence"
"BD21-053","POLYA",2.75161681590572,0.62,"Benguela","Supports Recrudescence"
"BD21-075","POLYA",1.0209241119393e-09,27,"Benguela","Supports Reinfection/Error"
"BD21-099","POLYA",4.15421102149942,0,"Benguela","Supports Recrudescence"
"BP21-233","POLYA",0.249658828235123,11.13,"Benguela","Supports Reinfection/Error"
"BP21-237","POLYA",0.199278677859372,2.77,"Benguela","Supports Reinfection/Error"
"BP21-238","POLYA",1.3087712788214e-08,24,"Benguela","Supports Reinfection/Error"
"BP21-240","POLYA",2.33328881630215,0,"Benguela","Supports Recrudescence"
"BP21-241","POLYA",0.242398274021667,5.12,"Benguela","Supports Reinfection/Error"
"BP21-243","POLYA",0.485292970330591,9.35,"Benguela","Supports Reinfection/Error"
"BP21-245","POLYA",1,1.83,"Benguela","Supports Reinfection/Error"
"BP21-273","POLYA",0.391195445509685,7.4,"Benguela","Supports Reinfection/Error"
"BP21-274","POLYA",1.30919997822551e-08,21,"Benguela","Supports Reinfection/Error"
"BP21-280","POLYA",0.487389824898829,2.18,"Benguela","Supports Reinfection/Error"
"BP21-281","POLYA",0.0492047241558446,3,"Benguela","Supports Reinfection/Error"
"BP21-294","POLYA",0.00135221504627256,6,"Benguela","Supports Reinfection/Error"
"BP21-303","POLYA",2.28509968989833e-05,12,"Benguela","Supports Reinfection/Error"
